basin,year,storm_name,peak_wind,duration_h,integrated_intensity,ace,ri_events,is_cat4plus,max_24h_delta,decade,n_timesteps
EP,1997,GUILLERMO,72.025,588,16596.299999999996,105832.6275,5,True,25.724999999999994,1990,99
EP,1997,HILDA,23.15,120,2183.1749999999997,4597.604374999999,0,False,7.724999999999998,1990,21
EP,1997,JIMENA,59.15,108,4089.2999999999997,31261.8325,5,True,33.425,1990,19
EP,1997,LINDA,82.3,198,8326.275,75815.4225,7,True,46.3,1990,34
EP,1997,MARTY,20.575,90,1480.9499999999998,2241.991875,0,False,5.149999999999999,1990,16
EP,1997,NORA,59.15,246,9274.95,63434.560625,5,True,25.699999999999996,1990,42
EP,1997,OLAF,30.875,390,6208.874999999999,6466.152499999999,0,False,12.874999999999996,1990,66
EP,1997,PAULINE,59.15,114,4174.575000000001,30025.822500000002,6,True,36.0,1990,20
EP,1997,RICK,43.725,90,2191.2,9163.470625000002,3,False,25.725,1990,16
EP,1998,AGATHA,28.299999999999997,126,2399.3999999999996,5829.613124999999,0,False,12.874999999999996,1990,22
EP,1998,BLAS,61.725,210,7523.549999999999,52003.604375,6,True,20.575000000000003,1990,36
EP,1998,CELIA,25.725,96,1874.775,5358.710624999999,0,False,7.724999999999998,1990,17
EP,1998,DARBY,51.45,216,7377.000000000001,48455.95187500001,5,True,28.3,1990,37
EP,1998,ESTELLE,59.15,240,6936.375,38645.45375,3,True,18.0,1990,41
EP,1998,GEORGETTE,51.45,150,4861.2,29587.815625,2,True,15.425000000000004,1990,26
EP,1998,HOWARD,66.875,234,9660.900000000001,77447.855625,7,True,28.299999999999997,1990,40
EP,1998,JAVIER,25.725,192,3123.825,5059.69,0,False,10.3,1990,33
EP,1998,KAY,33.45,96,1921.125,5698.544375,1,False,18.025000000000002,1990,17
EP,1998,LESTER,51.45,276,9714.825,62813.338749999995,4,True,18.000000000000004,1990,47
EP,1998,MADELINE,38.575,96,2824.05,14527.526249999999,2,False,15.45,1990,17
EP,1999,ADRIAN,43.725,108,3078.675,15692.456875000002,0,False,12.875000000000004,1990,19
EP,1999,BEATRIZ,54.025000000000006,186,6783.225000000001,45698.058124999996,2,True,15.425000000000004,1990,32
EP,1999,DORA,61.725,330,14051.625000000005,109585.05874999998,2,True,15.425000000000004,1990,56
EP,1999,EUGENE,48.875,228,6998.474999999999,38940.487499999996,2,False,18.0,1990,39
EP,1999,FERNANDA,28.299999999999997,132,2391.45,5550.355624999999,0,False,7.725000000000001,1990,23
EP,1999,GREG,33.45,102,2345.9249999999997,8981.671875000002,0,False,12.875000000000004,1990,18
EP,1999,HILARY,33.45,108,2407.4999999999995,8650.398125000002,0,False,10.300000000000004,1990,19
EP,2000,ALETTA,46.3,132,4027.7999999999993,22335.449375,4,False,23.15,2000,23
